Reference, Value, Footprint, Datasheet
"J2","9V_Battery","Connect:bornier2",""
"J1","12V_Charger","Connect:BARREL_JACK",""
"U1","LM1875","TO_SOT_Packages_THT:TO-220-5_Pentawatt_Multiwatt-5_Horizontal_StaggeredType1",""
"J3","IN","AV_Conn:jack_huella",""
"1N1007","DIODE","Diodes_ThroughHole:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp",""
"D1","LED","LEDs:LED_D3.0mm",""
"C4","1Ou","Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"R4","22K","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"R3","22K","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"R2","22K","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"C1","0.1u","Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C2","10u","Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"R6","10R","Resistors_ThroughHole:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"C6","0.22u","Capacitors_ThroughHole:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"C3","100u","Capacitors_ThroughHole:CP_Radial_D6.3mm_P2.50mm",""
"C5","250u","Capacitors_ThroughHole:CP_Radial_D10.0mm_P5.00mm",""
"R9","1M","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"R8","10K","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"C7","1Ou","Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"R1","1K","Resistors_ThroughHole:R_Array_SIP4",""
"J4","Speaker","Connect:bornier2",""
"J5","Audio_In","Connect:bornier2",""
"R5","10k","Potentiometers:Potentiometer_Trimmer_Vishay_T73YP_Horizontal",""
"J6","CONN_01X03","Socket_Strips:Socket_Strip_Straight_1x03_Pitch2.54mm",""
"SW1","SW_SPDT","Switch:switch",""
